2019-06-28 14:10:51,882 INFO  OverrideDubboConfigApplicationListener:68 -Dubbo Config was overridden by externalized configuration {dubbo.accesslog=true, dubbo.application.id=dubbo-consumer, dubbo.application.name=dubbo-consumer, dubbo.application.qos-enable=false, dubbo.center.port=20882, dubbo.center.specificProvider=, dubbo.config.multiple=true, dubbo.consumer.check=false, dubbo.consumer.retries=${dubbo.retry}, dubbo.consumer.timeout=${dubbo.timeout}, dubbo.consumer.version=1.0.0, dubbo.coupon.port=20884, dubbo.dispatcher=message, dubbo.monitor.protocol=registry, dubbo.port=20881, dubbo.protocol=zookeeper, dubbo.registry.address=zookeeper://127.0.0.1:2181, dubbo.registry.protocol=${dubbo.protocol}, dubbo.report.port=20883, dubbo.report.specificProvider=, dubbo.retry=1, dubbo.scan.base-packages=com.ross.dubbo.consumer, dubbo.specificProvider=, dubbo.threads=500, dubbo.timeout=10000, dubbo.zookeeper=zookeeper://192.168.14.234:2181}
2019-06-28 14:10:53,201 INFO  DubboConfigBindingBeanPostProcessor:109 -The properties of bean [name : org.apache.dubbo.config.ConsumerConfig#0] have been binding by prefix of configuration properties : dubbo.consumer
2019-06-28 14:10:53,208 INFO  DubboConfigBindingBeanPostProcessor:109 -The properties of bean [name : dubbo-consumer] have been binding by prefix of configuration properties : dubbo.application
2019-06-28 14:10:53,216 INFO  DubboConfigBindingBeanPostProcessor:109 -The properties of bean [name : org.apache.dubbo.config.RegistryConfig#0] have been binding by prefix of configuration properties : dubbo.registry
2019-06-28 14:10:53,221 INFO  DubboConfigBindingBeanPostProcessor:109 -The properties of bean [name : org.apache.dubbo.config.MonitorConfig#0] have been binding by prefix of configuration properties : dubbo.monitor
2019-06-28 14:10:53,222 INFO  ReferenceBeanBuilder:80 -The bean[type:ReferenceBean] has been built.
2019-06-28 14:10:53,263 INFO  CuratorFrameworkImpl:235 -Starting
2019-06-28 14:10:53,263 INFO  ZooKeeper:438 -Initiating client connection, connectString=127.0.0.1:2181 sessionTimeout=60000 watcher=org.apache.curator.ConnectionState@18da4dd
2019-06-28 14:10:53,264 INFO  ClientCnxn:1032 -Opening socket connection to server 127.0.0.1/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2019-06-28 14:10:53,265 INFO  ClientCnxn:876 -Socket connection established to 127.0.0.1/127.0.0.1:2181, initiating session
2019-06-28 14:10:53,294 INFO  ClientCnxn:1299 -Session establishment complete on server 127.0.0.1/127.0.0.1:2181, sessionid = 0x1000f94808d000e, negotiated timeout = 40000
2019-06-28 14:10:53,294 INFO  ConnectionStateManager:228 -State change: CONNECTED
2019-06-28 14:10:53,919 INFO  ThreadPoolTaskExecutor:171 -Initializing ExecutorService 'applicationTaskExecutor'
2019-06-28 14:10:54,244 INFO  Http11NioProtocol:173 -Starting ProtocolHandler ["http-nio-9878"]
2019-06-28 14:10:54,261 INFO  TomcatWebServer:202 -Tomcat started on port(s): 9878 (http) with context path ''
2019-06-28 14:10:54,263 INFO  ConsumerApplication:59 -Started ConsumerApplication in 4.175 seconds (JVM running for 5.088)
2019-06-28 14:11:05,062 INFO  [/]:173 -Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-06-28 14:11:05,063 INFO  DispatcherServlet:524 -Initializing Servlet 'dispatcherServlet'
2019-06-28 14:11:05,084 INFO  DispatcherServlet:546 -Completed initialization in 21 ms
2019-06-28 14:11:05,110 INFO  DemoController:22 -客户端调用sayHello方法，传入参数为Ross
